                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25667,                0.39394,                      1,                0.37519,              0.0001071,              0.0001071,              0.0001071
                      2,                0.24097,                0.39394,                      1,                0.37779,             0.00021915,             0.00021915,             0.00021915
                      3,                0.20718,                0.39394,                      1,                 0.3807,             0.00032894,             0.00032894,             0.00032894
                      4,                0.20113,                0.54545,                      1,                 0.3102,             0.00043646,             0.00043646,             0.00043646
                      5,                0.18588,                0.86364,                      1,                0.27782,             0.00054172,             0.00054172,             0.00054172
                      6,                0.14846,                0.60606,                      1,                0.31075,             0.00064472,             0.00064472,             0.00064472
                      7,                0.13319,                0.62121,                      1,                0.31213,             0.00067159,             0.00067159,             0.00067159
                      8,                0.14004,                0.80303,                      1,                 0.2623,             0.00067159,             0.00067159,             0.00067159
                      9,                0.12542,                0.83333,                      1,                0.26931,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.1337,                0.63636,                      1,                0.29763,             0.00065745,             0.00065745,             0.00065745
                     11,                 0.1173,                0.68182,                      1,                0.27886,             0.00065038,             0.00065038,             0.00065038
                     12,                0.10185,                0.83333,                      1,                0.25359,             0.00064331,             0.00064331,             0.00064331
                     13,                0.10991,                0.90909,                      1,                0.25143,             0.00063625,             0.00063625,             0.00063625
                     14,                0.09898,                0.81818,                      1,                0.27036,             0.00062918,             0.00062918,             0.00062918
                     15,                0.09214,                0.87879,                      1,                0.24165,             0.00062211,             0.00062211,             0.00062211
                     16,                0.09977,                0.87879,                      1,                0.23985,             0.00061504,             0.00061504,             0.00061504
                     17,                0.08687,                0.81818,                      1,                 0.2605,             0.00060797,             0.00060797,             0.00060797
                     18,                0.11417,                0.69697,                      1,                0.28538,              0.0006009,              0.0006009,              0.0006009
                     19,                0.09153,                0.95455,                      1,                0.23189,             0.00059383,             0.00059383,             0.00059383
                     20,                0.08314,                0.95455,                      1,                0.22809,             0.00058677,             0.00058677,             0.00058677
                     21,                0.07125,                0.89394,                      1,                0.24879,              0.0005797,              0.0005797,              0.0005797
                     22,                0.07722,                0.78788,                      1,                0.26802,             0.00057263,             0.00057263,             0.00057263
                     23,                0.08089,                0.86364,                      1,                0.25433,             0.00056556,             0.00056556,             0.00056556
                     24,                0.06495,                0.78788,                      1,                0.25413,             0.00055849,             0.00055849,             0.00055849
                     25,                0.06661,                0.89394,                      1,                0.23847,             0.00055142,             0.00055142,             0.00055142
                     26,                0.06851,                0.89394,                      1,                0.23239,             0.00054435,             0.00054435,             0.00054435
                     27,                0.05995,                0.84848,                      1,                0.23934,             0.00053728,             0.00053728,             0.00053728
                     28,                0.05149,                0.80303,                      1,                0.25041,             0.00053022,             0.00053022,             0.00053022
                     29,                0.07429,                0.90909,                      1,                0.23371,             0.00052315,             0.00052315,             0.00052315
                     30,                0.08482,                0.92424,                      1,                0.22447,             0.00051608,             0.00051608,             0.00051608
                     31,                0.05422,                0.90909,                      1,                0.23063,             0.00050901,             0.00050901,             0.00050901
                     32,                0.07064,                0.90909,                      1,                0.23415,             0.00050194,             0.00050194,             0.00050194
                     33,                0.04668,                0.93939,                      1,                0.22133,             0.00049487,             0.00049487,             0.00049487
                     34,                0.06689,                0.95455,                      1,                0.22035,              0.0004878,              0.0004878,              0.0004878
                     35,                0.05534,                 0.9697,                      1,                0.21436,             0.00048074,             0.00048074,             0.00048074
                     36,                0.05282,                0.93939,                      1,                  0.224,             0.00047367,             0.00047367,             0.00047367
                     37,                0.07189,                0.87879,                      1,                0.23411,              0.0004666,              0.0004666,              0.0004666
                     38,                0.07432,                0.84848,                      1,                0.23446,             0.00045953,             0.00045953,             0.00045953
                     39,                0.07273,                0.98485,                      1,                0.21815,             0.00045246,             0.00045246,             0.00045246
                     40,                0.07271,                0.90909,                      1,                0.22818,             0.00044539,             0.00044539,             0.00044539
                     41,                0.05647,                0.93939,                      1,                0.23028,             0.00043832,             0.00043832,             0.00043832
                     42,                0.07019,                0.90909,                      1,                0.23578,             0.00043126,             0.00043126,             0.00043126
                     43,                 0.0521,                0.84848,                      1,                0.23388,             0.00042419,             0.00042419,             0.00042419
                     44,                0.05436,                0.89394,                      1,                0.23452,             0.00041712,             0.00041712,             0.00041712
                     45,                 0.0678,                0.95455,                      1,                0.21644,             0.00041005,             0.00041005,             0.00041005
                     46,                0.05271,                0.92424,                      1,                0.21835,             0.00040298,             0.00040298,             0.00040298
                     47,                0.06575,                0.93939,                      1,                0.22106,             0.00039591,             0.00039591,             0.00039591
                     48,                0.06036,                0.93939,                      1,                0.22214,             0.00038884,             0.00038884,             0.00038884
                     49,                0.05347,                0.90909,                      1,                0.22685,             0.00038178,             0.00038178,             0.00038178
                     50,                0.05864,                0.89394,                      1,                0.22791,             0.00037471,             0.00037471,             0.00037471
                     51,                0.05582,                0.87879,                      1,                0.23167,             0.00036764,             0.00036764,             0.00036764
                     52,                0.06754,                0.87879,                      1,                0.22765,             0.00036057,             0.00036057,             0.00036057
                     53,                0.04013,                0.81818,                      1,                0.24959,              0.0003535,              0.0003535,              0.0003535
                     54,                0.05944,                0.87879,                      1,                0.23736,             0.00034643,             0.00034643,             0.00034643
                     55,                0.05497,                0.83333,                      1,                0.24541,             0.00033936,             0.00033936,             0.00033936
                     56,                0.04309,                0.92424,                      1,                0.22418,              0.0003323,              0.0003323,              0.0003323
                     57,                0.06146,                0.90909,                      1,                0.22383,             0.00032523,             0.00032523,             0.00032523
                     58,                0.05673,                0.87879,                      1,                0.23151,             0.00031816,             0.00031816,             0.00031816
                     59,                0.04958,                0.90909,                      1,                0.22706,             0.00031109,             0.00031109,             0.00031109
                     60,                0.04418,                0.90909,                      1,                0.22815,             0.00030402,             0.00030402,             0.00030402
                     61,                 0.0549,                0.90909,                      1,                0.23193,             0.00029695,             0.00029695,             0.00029695
                     62,                0.04942,                0.89394,                      1,                 0.2312,             0.00028988,             0.00028988,             0.00028988
                     63,                 0.0412,                0.89394,                      1,                0.23374,             0.00028282,             0.00028282,             0.00028282
                     64,                0.05404,                0.87879,                      1,                0.23209,             0.00027575,             0.00027575,             0.00027575
                     65,                0.04487,                0.87879,                      1,                  0.235,             0.00026868,             0.00026868,             0.00026868
                     66,                0.04536,                0.86364,                      1,                0.23388,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.0394,                0.87879,                      1,                0.22964,             0.00025454,             0.00025454,             0.00025454
                     68,                0.04561,                0.89394,                      1,                0.22762,             0.00024747,             0.00024747,             0.00024747
                     69,                0.03507,                0.86364,                      1,                 0.2378,              0.0002404,              0.0002404,              0.0002404
                     70,                0.03667,                0.87879,                      1,                0.22558,             0.00023334,             0.00023334,             0.00023334
                     71,                0.04168,                0.95455,                      1,                0.21215,             0.00022627,             0.00022627,             0.00022627
                     72,                0.04256,                0.93939,                      1,                0.21502,              0.0002192,              0.0002192,              0.0002192
                     73,                0.04261,                0.93939,                      1,                0.21596,             0.00021213,             0.00021213,             0.00021213
                     74,                0.04688,                0.93939,                      1,                0.21959,             0.00020506,             0.00020506,             0.00020506
                     75,                0.05463,                0.86364,                      1,                0.23091,             0.00019799,             0.00019799,             0.00019799
                     76,                0.04648,                0.86364,                      1,                0.23085,             0.00019092,             0.00019092,             0.00019092
                     77,                 0.0256,                0.92424,                      1,                0.22698,             0.00018385,             0.00018385,             0.00018385
                     78,                0.03561,                0.92424,                      1,                 0.2249,             0.00017679,             0.00017679,             0.00017679
                     79,                0.03668,                0.92424,                      1,                0.22225,             0.00016972,             0.00016972,             0.00016972
                     80,                0.03443,                0.92424,                      1,                0.22157,             0.00016265,             0.00016265,             0.00016265
                     81,                0.04013,                0.86364,                      1,                0.23184,             0.00015558,             0.00015558,             0.00015558
                     82,                0.03883,                0.86364,                      1,                0.23171,             0.00014851,             0.00014851,             0.00014851
                     83,                0.03495,                0.90909,                      1,                0.22247,             0.00014144,             0.00014144,             0.00014144
                     84,                0.03952,                0.93939,                      1,                0.21908,             0.00013437,             0.00013437,             0.00013437
                     85,                0.02978,                0.92424,                      1,                0.21475,             0.00012731,             0.00012731,             0.00012731
                     86,                0.04854,                0.95455,                      1,                0.21246,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.0292,                0.93939,                      1,                 0.2175,             0.00011317,             0.00011317,             0.00011317
                     88,                0.03942,                0.93939,                      1,                0.21863,              0.0001061,              0.0001061,              0.0001061
                     89,                0.04633,                0.90909,                      1,                 0.2233,             9.9032e-05,             9.9032e-05,             9.9032e-05
