                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3939,                 5.4969,                 5.0763,                 4.1802,                0.00125,                0.40192,                0.00139,                0.00037,                0.00045,                0.23077,                0.00051,                0.00011,                 3.2165,                 4.3528,                 4.6945,                 4.1104,             0.00046442,             0.00046442,             0.00046442
                      2,                 3.1824,                 3.5752,                 4.6345,                  3.927,                0.00134,                0.35481,                 0.0041,                0.00147,                0.00065,                0.17115,                 0.0017,                0.00034,                 3.1124,                 4.0013,                 4.7405,                 3.8604,             0.00093144,             0.00093144,             0.00093144
                      3,                 2.9323,                  2.988,                  4.264,                 3.5223,                 0.0121,                0.09615,                0.01862,                0.00575,                0.00157,                0.40577,                0.03161,                 0.0112,                 2.8528,                 7.3316,                 5.3661,                 4.0794,               0.001389,               0.001389,               0.001389
                      4,                 2.7003,                 2.7923,                 3.8318,                 3.1595,                0.60933,                    0.1,                 0.0561,                0.01841,                0.60933,                    0.1,                0.06742,                0.02831,                 2.9933,                 24.239,                 4.8497,                 3.9634,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.5587,                 2.7209,                 3.5823,                 3.0288,                0.02669,                0.16442,                 0.0167,                0.00509,                0.02162,                0.19519,                 0.0211,                 0.0056,                 2.8325,                 4.5393,                 9.7849,                 3.2568,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.5125,                 2.7003,                 3.3613,                 2.8986,                0.74722,                 0.1125,                0.15168,                0.06136,                0.74722,                 0.1125,                0.15476,                 0.0731,                 2.3998,                 2.6024,                 4.5087,                 2.8643,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.4296,                 2.5282,                 3.2002,                 2.7646,                0.68504,                  0.125,                0.15312,                0.06952,                0.72747,                    0.1,                0.14448,                0.07034,                 2.3113,                 2.6269,                 2.8963,                  2.682,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.3643,                 2.4239,                 3.0255,                  2.728,                0.16249,                0.27596,                0.16749,                0.06058,                0.18541,                0.23173,                0.19289,                0.07445,                 2.2432,                 2.5164,                  2.912,                 2.6597,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.2508,                 2.4975,                 2.8818,                 2.6475,                0.18121,                0.33365,                0.23668,                 0.0908,                0.25499,                0.37212,                0.29184,                0.11916,                 2.4043,                 2.5283,                 3.1385,                 2.7883,                0.00133,                0.00133,                0.00133
                     10,                 2.2159,                 2.3995,                  2.758,                 2.6085,                0.25824,                0.33269,                0.25266,                0.12428,                0.27562,                0.37019,                0.28341,                0.13266,                 2.0992,                 2.3139,                 2.5642,                 2.4964,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.1156,                 2.3464,                 2.6546,                 2.5319,                 0.4613,                0.36442,                0.41128,                0.16291,                0.45482,                0.36442,                0.41106,                0.18645,                  2.104,                 2.2971,                 2.3557,                 2.4453,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.0891,                 2.3534,                 2.6172,                 2.4909,                0.46017,                0.29064,                0.31961,                 0.1483,                0.35274,                0.33173,                0.34992,                0.17718,                 2.0215,                 2.2422,                   2.57,                 2.4171,              0.0012875,              0.0012875,              0.0012875
                     13,                  1.972,                 2.2723,                 2.3973,                 2.3878,                0.39272,                0.35865,                 0.2992,                0.14784,                0.40681,                0.39615,                0.34177,                0.16125,                 2.0843,                 2.1934,                 2.4318,                 2.5171,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.9869,                  2.302,                 2.4306,                  2.411,                0.33531,                0.55179,                0.42179,                0.19053,                0.34072,                0.57404,                0.41097,                0.20258,                 1.8855,                 2.2689,                 2.3085,                 2.3674,              0.0012592,              0.0012592,              0.0012592
                     15,                  1.895,                 2.3752,                 2.4023,                 2.3205,                0.37165,                0.36538,                0.37819,                0.16468,                0.39873,                0.40385,                0.40009,                 0.2161,                 1.9794,                 2.1932,                 2.6864,                 2.4183,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.8312,                 2.2612,                  2.262,                 2.2467,                0.39941,                0.37788,                0.33478,                0.17401,                 0.4281,                0.41635,                0.38212,                 0.2024,                 2.0539,                 2.2054,                 2.3607,                 2.5316,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8611,                 2.1527,                 2.2793,                 2.2996,                0.77148,                    0.2,                0.23784,                0.12268,                0.78652,                 0.2182,                0.24429,                 0.1414,                 2.0901,                 2.6911,                 4.4112,                 2.5784,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.8134,                 2.1448,                 2.2067,                   2.24,                0.28407,                0.35673,                0.35145,                0.18056,                0.33345,                0.32335,                0.36227,                0.19003,                 1.8346,                 2.2107,                 2.2978,                 2.2753,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.7168,                 2.0971,                 2.0901,                 2.1709,                0.41699,                0.44705,                0.41915,                0.21848,                0.46154,                0.46442,                0.43963,                0.25587,                 1.8999,                  2.094,                  2.058,                 2.2544,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.7399,                 2.1364,                 2.0723,                 2.1676,                0.40378,                0.52885,                0.45761,                0.25129,                 0.4676,                 0.5747,                0.50459,                0.26243,                  1.719,                  2.081,                 2.1256,                  2.198,              0.0011744,              0.0011744,              0.0011744
                     21,                  1.704,                 2.0661,                 2.0219,                 2.1036,                 0.4718,                0.57404,                0.46797,                0.23663,                 0.4718,                0.57404,                0.46401,                  0.245,                 1.6385,                 2.2138,                 2.2289,                 2.0758,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.6499,                  2.154,                 2.0082,                 2.0722,                0.82229,                   0.35,                0.42169,                0.21243,                0.82057,                   0.35,                0.40635,                0.23111,                 1.7385,                 2.2751,                 2.4706,                 2.1899,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.6434,                 2.1057,                 1.9729,                 2.0669,                0.40999,                0.54808,                0.51602,                  0.289,                0.43111,                0.57308,                0.51731,                0.30949,                 1.6739,                 2.0199,                 1.8471,                 2.0642,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.5924,                 2.1046,                 1.9825,                 2.0027,                0.34972,                0.55962,                0.49289,                 0.2759,                0.47932,                0.43807,                0.51334,                0.30215,                 1.5948,                 2.0158,                 1.8457,                 2.0353,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.5666,                   2.03,                  1.906,                 1.9756,                0.44912,                0.48462,                0.49626,                0.27552,                0.46683,                0.50385,                0.50794,                 0.3133,                 1.6428,                 1.9405,                  2.069,                 2.1102,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.5802,                   2.03,                 1.8918,                 2.0038,                0.39314,                 0.5289,                0.52761,                0.28093,                0.38646,                0.57586,                0.53633,                0.30719,                 1.6023,                 2.0393,                 1.9454,                 2.0724,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.5611,                 2.0365,                 1.8326,                 1.9541,                0.96338,                 0.3164,                0.42442,                0.26713,                0.39068,                0.46876,                0.43981,                0.27947,                 1.6483,                 2.2894,                 2.1738,                    2.1,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.5389,                 2.1218,                 1.8991,                 1.9879,                0.48512,                0.58673,                0.60384,                 0.3424,                0.48934,                0.57308,                 0.5945,                0.34709,                 1.4889,                 2.0513,                  1.785,                 1.9286,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.5328,                  2.027,                 1.8112,                 1.9446,                0.54898,                0.56731,                0.61456,                0.35319,                   0.56,                0.57981,                0.60948,                0.37146,                 1.5026,                 1.9642,                  1.764,                 1.8763,               0.001047,               0.001047,               0.001047
                     30,                 1.4785,                 1.9486,                 1.7582,                 1.9024,                0.85919,                0.40096,                0.50048,                0.29502,                0.39858,                0.57308,                0.51255,                0.31146,                  1.566,                 2.0002,                  1.802,                 1.9909,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.5471,                 2.0682,                 1.8146,                   1.94,                0.49055,                0.55596,                0.51702,                0.31655,                0.49055,                0.55596,                0.50968,                0.31357,                 1.4886,                 2.1355,                 1.9259,                 1.8897,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.4398,                 1.9643,                 1.6926,                  1.864,                0.47458,                0.49519,                0.52302,                0.29129,                0.47487,                0.57212,                0.53903,                0.32422,                 1.5942,                 1.9318,                 1.9775,                 2.0216,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5225,                 2.0017,                 1.8074,                 1.9161,                0.65822,                0.57404,                0.61049,                0.35925,                0.66206,                0.57404,                0.60409,                0.36716,                 1.4383,                 1.9468,                 1.7937,                 1.9242,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.4798,                 1.9338,                  1.702,                 1.8787,                0.48125,                0.65081,                0.62284,                0.36726,                0.46654,                0.63675,                0.61479,                0.35809,                 1.4526,                 1.9805,                    1.8,                 1.8794,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.3898,                  1.925,                 1.6775,                 1.8365,                0.55991,                   0.65,                0.58546,                0.35679,                0.57992,                0.66923,                0.60305,                0.35879,                 1.5183,                 1.9756,                 1.7103,                 1.9199,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.4177,                 1.8595,                 1.6557,                 1.8194,                0.51884,                0.61058,                0.60577,                0.33531,                0.55734,                0.62981,                0.63965,                0.36618,                 1.5225,                 1.8667,                 1.7465,                 1.9291,               0.000948,               0.000948,               0.000948
                     37,                 1.3851,                 1.8556,                 1.6316,                  1.792,                0.54143,                0.63077,                0.63078,                0.37059,                0.58218,                0.65229,                0.65317,                0.37926,                 1.3742,                 1.8807,                 1.5991,                 1.8461,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.4334,                 1.9506,                 1.7212,                 1.8247,                0.58871,                0.55467,                0.58928,                0.38486,                0.63095,                0.59362,                0.61804,                0.37804,                 1.3835,                 1.9573,                 1.6774,                 1.8202,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3973,                  1.968,                  1.659,                 1.8035,                0.57512,                0.60577,                0.62663,                0.36376,                0.57512,                0.60577,                0.62484,                0.37842,                 1.5857,                 1.9907,                 1.7972,                 1.9741,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.4123,                 1.8837,                 1.6735,                 1.7984,                0.57927,                0.57308,                0.63993,                0.37476,                0.57927,                0.57308,                0.63735,                0.39809,                 1.3825,                 1.8363,                 1.6597,                  1.805,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3892,                 1.8895,                 1.6045,                 1.7867,                0.54318,                 0.6375,                0.66197,                0.39505,                0.54128,                0.61417,                0.65244,                 0.4057,                 1.4035,                 1.8119,                 1.5416,                 1.8052,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3841,                 1.9814,                 1.6094,                 1.7904,                0.62303,                0.68269,                 0.6647,                0.39241,                0.63443,                0.69519,                0.66935,                0.41532,                 1.3894,                 1.8992,                 1.6001,                 1.7886,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.3477,                 1.8435,                 1.5821,                 1.7747,                0.61743,                0.59231,                0.65149,                0.40756,                0.62925,                0.60481,                0.65608,                0.40467,                 1.3562,                 1.9302,                 1.5894,                 1.7874,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3171,                 1.7991,                 1.5461,                 1.7143,                0.70039,                0.59222,                0.67449,                0.41647,                0.70862,                0.61118,                0.68596,                 0.4251,                 1.3239,                 1.8204,                 1.5921,                 1.7692,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.3276,                 1.8863,                 1.5336,                  1.724,                0.60917,                  0.616,                0.65715,                0.39099,                0.67328,                 0.6658,                0.68937,                0.39865,                 1.4479,                 1.9463,                 1.5016,                  1.856,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.3364,                 1.8596,                 1.5424,                 1.7396,                0.63449,                0.56731,                0.61296,                0.36922,                0.62705,                0.56731,                0.61963,                0.38147,                 1.4015,                 1.8501,                 1.5414,                 1.8139,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.3176,                 1.8265,                 1.5342,                 1.7338,                 0.6006,                0.60577,                0.65071,                0.38435,                0.59468,                 0.6292,                0.66282,                0.39987,                 1.3407,                 1.8041,                 1.6619,                 1.7405,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2852,                  1.851,                 1.4938,                 1.6751,                0.56609,                0.63077,                0.63248,                 0.3895,                0.67308,                0.61154,                0.67635,                 0.4079,                 1.3737,                 1.8054,                  1.562,                 1.8326,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.3532,                 1.8471,                 1.5596,                 1.7517,                0.62548,                0.72372,                0.72646,                 0.4228,                0.65085,                0.71442,                0.72682,                0.42498,                 1.3782,                 1.8229,                 1.4678,                  1.783,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2961,                 1.7327,                 1.4613,                 1.6829,                 0.6601,                0.63654,                0.70696,                 0.4267,                 0.6601,                0.63654,                0.69831,                0.43017,                 1.3897,                 1.8104,                 1.5274,                 1.7778,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2869,                   1.81,                 1.4477,                 1.6769,                 0.7712,                0.63362,                0.71738,                0.41329,                0.76746,                0.62048,                0.70658,                0.42266,                 1.4631,                 1.8363,                 1.4848,                 1.8215,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2535,                 1.8095,                 1.4069,                 1.6457,                0.65406,                0.62404,                0.68008,                0.41803,                0.65406,                0.62404,                0.68145,                0.41704,                 1.3076,                 1.8101,                 1.5337,                 1.7197,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2707,                 1.7852,                 1.4172,                 1.6623,                0.69755,                0.58326,                0.66446,                0.42851,                0.70716,                0.59474,                 0.6715,                0.41996,                 1.3091,                  1.836,                 1.6373,                 1.7939,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2072,                 1.8143,                 1.3954,                 1.6108,                0.68751,                0.73942,                0.76382,                0.46586,                0.68751,                0.73942,                0.75607,                0.47225,                 1.3267,                 1.7386,                 1.3731,                 1.7156,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.2681,                 1.7494,                 1.4076,                 1.6338,                0.56058,                 0.6625,                0.63178,                0.41343,                0.60064,                0.68173,                0.65848,                0.41904,                 1.3148,                 1.7541,                 1.5355,                 1.7391,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2609,                 1.6859,                 1.3767,                 1.6752,                0.68055,                0.76538,                0.73611,                0.46684,                0.68055,                0.76538,                0.73327,                0.45233,                 1.2554,                 1.7521,                 1.4174,                  1.708,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.208,                 1.7643,                 1.3682,                 1.6223,                0.67549,                0.73942,                0.71987,                0.45636,                0.67549,                0.73942,                0.71767,                0.44758,                 1.2966,                 1.8144,                 1.4727,                 1.7513,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2434,                 1.7927,                 1.3564,                 1.6307,                0.62865,                0.70096,                0.71815,                0.43917,                0.62865,                0.70096,                0.71793,                0.42645,                 1.3725,                 1.7999,                 1.4101,                 1.7721,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.2636,                 1.8352,                 1.4082,                 1.6456,                0.75962,                0.69965,                0.76795,                0.47576,                0.75962,                0.69965,                0.76748,                0.46545,                 1.3597,                 1.8485,                 1.4282,                   1.77,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2277,                 1.8114,                 1.3658,                 1.6202,                0.77131,                0.58654,                0.71677,                0.44617,                 0.6854,                0.62665,                0.72471,                0.44176,                  1.297,                 1.7542,                 1.5034,                 1.7488,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.2098,                 1.7141,                 1.2958,                 1.6008,                0.67692,                 0.7476,                0.76125,                0.48524,                0.68313,                0.70893,                0.73402,                0.44717,                 1.2897,                 1.8248,                 1.4298,                 1.7245,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.2411,                 1.7033,                 1.3373,                 1.6534,                  0.798,                0.66346,                0.73581,                0.44969,                0.82276,                0.68269,                0.76655,                0.45328,                 1.3408,                 1.7839,                 1.3344,                 1.7968,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.2173,                 1.7527,                 1.3331,                 1.6158,                0.67037,                0.70192,                0.69668,                0.45254,                0.69214,                0.72115,                0.73402,                0.43443,                 1.2914,                   1.76,                 1.4157,                 1.7357,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.2196,                 1.6445,                 1.3106,                 1.6035,                0.77507,                0.63244,                0.74226,                0.44469,                0.77507,                0.63244,                0.73858,                0.43995,                 1.2721,                  1.738,                 1.3674,                 1.7127,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.2254,                 1.7199,                 1.3278,                 1.6212,                0.68331,                0.66887,                0.71683,                0.44241,                 0.7038,                0.67596,                0.74741,                0.45609,                 1.3526,                 1.8139,                 1.3526,                 1.8171,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1723,                  1.714,                 1.3168,                 1.5859,                0.72154,                0.67807,                0.74465,                0.44432,                0.72154,                0.67807,                0.74477,                0.45337,                  1.296,                 1.7533,                 1.3742,                 1.7351,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1941,                 1.7144,                 1.3025,                 1.5906,                0.77721,                0.70192,                0.76523,                0.47048,                0.77721,                0.70192,                0.76523,                 0.4786,                 1.3296,                 1.7269,                 1.3354,                 1.7163,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1845,                 1.7192,                 1.3568,                 1.6017,                 0.7204,                   0.65,                0.72291,                0.46715,                 0.7204,                   0.65,                0.72353,                0.45443,                 1.2561,                 1.6795,                 1.3455,                 1.6738,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1689,                 1.7043,                 1.2593,                 1.5818,                0.71938,                0.74038,                 0.7786,                0.48623,                0.71938,                0.74038,                0.78004,                 0.4864,                 1.4031,                 1.7032,                 1.3346,                 1.7282,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1609,                 1.6792,                 1.2706,                 1.5739,                0.67006,                0.68173,                 0.7172,                  0.448,                0.67006,                0.68173,                0.71871,                0.44578,                 1.3643,                 1.6968,                 1.4058,                 1.7342,               0.000467,               0.000467,               0.000467
                     71,                 1.1808,                 1.7025,                 1.3073,                 1.5941,                0.78077,                0.75588,                0.80616,                0.50012,                0.75907,                0.72019,                0.77461,                0.47274,                 1.2815,                 1.7535,                 1.2284,                 1.6958,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1671,                 1.6912,                 1.2937,                 1.5712,                 0.7946,                0.68615,                0.77642,                0.48943,                0.80576,                0.69865,                0.78651,                0.47015,                 1.2527,                 1.7394,                 1.3029,                 1.6509,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.1083,                  1.654,                 1.2045,                  1.512,                0.87462,                0.62154,                0.77519,                 0.4868,                0.86382,                0.59327,                0.75903,                0.46322,                 1.2652,                 1.7025,                 1.3012,                 1.7052,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1167,                  1.564,                 1.1956,                 1.5312,                0.70224,                0.68846,                0.78246,                0.47895,                0.70224,                0.68846,                0.78183,                0.49544,                  1.299,                 1.6902,                 1.3503,                 1.7145,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.1285,                 1.7073,                 1.2183,                 1.5292,                0.89926,                0.71281,                0.79584,                0.49523,                0.89926,                0.71281,                0.78275,                0.48824,                 1.2858,                 1.7424,                 1.2842,                 1.6952,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.1253,                 1.6618,                 1.1859,                  1.497,                0.71052,                0.70769,                0.73785,                0.47131,                0.74466,                0.72692,                0.76601,                0.47225,                 1.2765,                 1.7754,                  1.275,                 1.7079,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.1197,                 1.6452,                 1.1983,                 1.5316,                0.81152,                0.73365,                 0.8036,                0.49883,                0.83237,                0.71114,                0.78125,                0.48674,                 1.2627,                 1.6674,                 1.2029,                 1.6534,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.1421,                 1.6648,                 1.2281,                 1.5533,                0.75225,                0.73365,                0.75055,                0.45487,                0.75225,                0.73365,                0.75814,                0.46518,                  1.306,                 1.7291,                 1.2625,                 1.7207,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1334,                 1.6477,                  1.176,                 1.5434,                   0.75,                0.71618,                0.80859,                0.47434,                   0.75,                0.71618,                0.80859,                0.48156,                 1.3531,                 1.6737,                 1.2202,                 1.7676,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.1236,                 1.6133,                 1.2234,                 1.5256,                0.77893,                0.73365,                0.80066,                0.50207,                0.77893,                0.73365,                0.78835,                0.50797,                 1.2811,                 1.6611,                 1.2346,                 1.7422,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.1154,                 1.6607,                 1.1906,                 1.5424,                0.72457,                0.67351,                0.74953,                0.46758,                0.72457,                0.67351,                0.74478,                0.46592,                 1.2241,                 1.6965,                  1.328,                 1.6946,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.1009,                 1.5794,                 1.1442,                  1.505,                0.78966,                0.72605,                 0.8058,                0.50697,                 0.7637,                0.70796,                0.78069,                  0.491,                 1.2676,                 1.6864,                 1.1816,                 1.7081,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1283,                 1.7134,                 1.1796,                 1.5444,                0.87025,                0.72742,                0.80649,                0.48547,                0.87025,                0.72742,                0.80588,                 0.4963,                 1.3189,                 1.6599,                 1.1904,                 1.7171,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.1157,                 1.6434,                 1.1629,                 1.5391,                0.79168,                0.75288,                0.79469,                0.51026,                0.79168,                0.75288,                0.79469,                0.49788,                 1.2804,                 1.6469,                  1.229,                  1.715,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0561,                  1.622,                 1.1375,                 1.4628,                0.80451,                0.69796,                 0.8008,                0.50511,                0.77776,                0.66405,                0.77225,                0.48304,                 1.2219,                 1.7506,                 1.2276,                 1.6615,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0829,                 1.6354,                 1.0617,                 1.4696,                0.79559,                0.73942,                 0.7687,                0.50063,                0.86522,                0.70704,                0.78053,                0.49419,                 1.2286,                 1.7249,                 1.2609,                 1.6827,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0729,                   1.61,                 1.1433,                 1.4955,                  0.857,                0.72692,                0.81838,                0.50902,                 0.8682,                0.71442,                 0.8042,                0.50783,                 1.2036,                 1.6386,                 1.2055,                  1.648,              0.0002265,              0.0002265,              0.0002265
                     88,                  1.077,                 1.5653,                 1.1249,                 1.4835,                0.79858,                0.77212,                  0.808,                0.51031,                0.77634,                0.75288,                0.78205,                0.50752,                 1.2343,                 1.6645,                 1.1405,                 1.6604,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0354,                 1.5694,                 1.0897,                 1.4485,                0.82139,                0.71603,                0.80021,                 0.5114,                0.82139,                0.71603,                0.78951,                0.50114,                 1.2195,                 1.7137,                 1.2096,                 1.6669,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0816,                 1.5938,                 1.1107,                 1.4912,                0.81749,                0.72489,                0.80907,                 0.5185,                0.81749,                0.72489,                0.79477,                0.50339,                  1.225,                 1.7145,                  1.195,                 1.6879,             0.00018406,             0.00018406,             0.00018406
                     91,                0.94505,                 1.3139,                 1.0114,                 1.4097,                0.72231,                0.74324,                0.77069,                0.48896,                0.68161,                0.77788,                0.77986,                0.49254,                 1.2609,                 1.6755,                 1.2189,                 1.6795,             0.00016991,             0.00016991,             0.00016991
                     92,                0.93103,                  1.285,                0.88955,                 1.3882,                0.73803,                0.79734,                0.80025,                 0.4906,                 0.7065,                0.76686,                0.77942,                0.48505,                 1.2561,                 1.7376,                 1.1955,                 1.6944,             0.00015576,             0.00015576,             0.00015576
                     93,                0.87924,                 1.2638,                0.86245,                 1.3388,                0.77904,                0.79712,                0.80251,                0.51855,                0.78007,                0.77363,                0.79805,                0.50927,                 1.2236,                 1.6805,                 1.1134,                  1.659,             0.00014161,             0.00014161,             0.00014161
                     94,                0.87231,                 1.2516,                0.84939,                 1.3272,                0.75653,                0.80962,                0.81444,                0.51659,                0.75653,                0.80962,                0.80322,                0.50002,                 1.2231,                 1.7025,                 1.1283,                 1.6535,             0.00012747,             0.00012747,             0.00012747
                     95,                0.88048,                  1.241,                0.84464,                  1.337,                0.78475,                0.72692,                0.79354,                0.51075,                0.81895,                0.69519,                0.78726,                0.49936,                 1.2477,                 1.7142,                 1.1894,                 1.6996,             0.00011332,             0.00011332,             0.00011332
                     96,                0.86131,                 1.2215,                0.81265,                 1.3254,                0.74148,                0.80962,                0.80481,                0.50564,                0.73138,                0.79712,                0.79715,                0.49716,                 1.2475,                 1.6946,                 1.1107,                  1.692,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.86591,                 1.2434,                0.81373,                 1.3053,                0.81828,                0.72018,                0.80168,                0.51734,                0.81828,                0.72018,                0.80198,                0.50492,                 1.2237,                 1.7448,                 1.1511,                 1.6785,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.86044,                 1.2427,                0.83332,                 1.3189,                0.82674,                0.71327,                 0.7967,                0.51896,                0.81949,                  0.742,                0.80993,                0.50215,                 1.2503,                  1.707,                 1.1304,                 1.6789,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.85704,                 1.2033,                0.78556,                 1.3033,                0.82223,                0.73336,                0.80726,                0.52648,                0.81153,                0.72086,                0.79593,                0.50186,                 1.2184,                  1.764,                 1.1176,                 1.6801,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.8467,                   1.21,                0.80046,                 1.3179,                0.76467,                0.80249,                0.82588,                0.52282,                0.75533,                0.79032,                0.81674,                0.51196,                 1.2306,                 1.7594,                 1.0953,                 1.6818,             4.2584e-05,             4.2584e-05,             4.2584e-05
